uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks
5b950e3a-a4fc-4d08-abfd-aef0f09e7e54,SERC_002.tickPlot.tck,SERC_002,2017-09-05T18:52Z,2018-01-27T17:00Z,SERC_002.20170905,SERC_002.20170905.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,3,OK,90% ethanol,USNMENT01358741,SERC_002.20170905.IXOSCA.N,Lorenza Beati,Georgia Southern University,
06666f9b-8e20-4f57-b210-b124b376aa80,SERC_005.tickPlot.tck,SERC_005,2017-09-05T20:30Z,2017-09-30T16:00Z,SERC_005.20170905,SERC_005.20170905.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,90% ethanol,USNMENT01358737,SERC_005.20170905.L,Guy Hobbs,Georgia Southern University,
a63cc9aa-261d-4c33-87b9-91a70f3a0f84,SERC_005.tickPlot.tck,SERC_005,2017-09-05T20:30Z,2018-01-27T17:00Z,SERC_005.20170905,SERC_005.20170905.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,4,OK,90% ethanol,USNMENT01358738,SERC_005.20170905.IXOSCA.N,Lorenza Beati,Georgia Southern University,
e30037f1-87bb-444c-b5e4-3afb02e4619c,SERC_006.tickPlot.tck,SERC_006,2017-09-05T21:52Z,2017-09-30T16:00Z,SERC_006.20170905,SERC_006.20170905.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,90% ethanol,USNMENT01358736,SERC_006.20170905.L,Guy Hobbs,Georgia Southern University,
92259111-9b42-4dd1-86cb-7c598e798b4e,SERC_006.tickPlot.tck,SERC_006,2017-09-05T21:52Z,2018-01-27T17:00Z,SERC_006.20170905,SERC_006.20170905.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,2,OK,90% ethanol,USNMENT01358735,SERC_006.20170905.IXOSCA.N,Lorenza Beati,Georgia Southern University,
5dc132b9-177a-4ba0-b9c1-1c674a33d8cc,SERC_006.tickPlot.tck,SERC_006,2017-09-21T17:16Z,2018-01-13T17:00Z,SERC_006.20170921,SERC_006.20170921.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,2,OK,90% ethanol,USNMENT01430093,SERC_006.20170921.IXOSCA.N,Lorenza Beati,Georgia Southern University,
856e3385-f95e-4610-8e1a-062abeac8530,SERC_006.tickPlot.tck,SERC_006,2017-09-21T17:16Z,2017-11-29T17:00Z,SERC_006.20170921,SERC_006.20170921.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,90% ethanol,USNMENT01430094,SERC_006.20170921.L,Arianna Gibbs,Georgia Southern University,
c5ec0d6d-c554-4f3f-9b08-79c8e633cf0b,SERC_012.tickPlot.tck,SERC_012,2017-09-21T21:45Z,2018-01-13T17:00Z,SERC_012.20170921,SERC_012.20170921.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,3,OK,90% ethanol,USNMENT01430082,SERC_012.20170921.IXOSCA.N,Lorenza Beati,Georgia Southern University,
f0678d37-d4ab-47f1-9303-af80a65ba1ce,SERC_005.tickPlot.tck,SERC_005,2017-09-22T12:40Z,2018-01-13T17:00Z,SERC_005.20170922,SERC_005.20170922.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,1,OK,90% ethanol,USNMENT01430090,SERC_005.20170922.IXOSCA.N,Lorenza Beati,Georgia Southern University,
76c1a3a6-1f3b-45eb-96d0-2ead5d33a141,SERC_001.tickPlot.tck,SERC_001,2017-09-26T14:54Z,2018-01-13T17:00Z,SERC_001.20170926,SERC_001.20170926.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Cooley, R. A. and G. M. Kohls. 1945. The genus Ixodes in North America. National Institute of Health Bulletin, 184.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,1,OK,90% ethanol,USNMENT01430085,SERC_001.20170926.IXOSCA.N,Lorenza Beati,Georgia Southern University,
641db594-4d92-435d-9895-9cba5df3178e,SERC_001.tickPlot.tck,SERC_001,2017-09-26T14:54Z,2017-11-29T17:00Z,SERC_001.20170926,SERC_001.20170926.IXOSP.L,Ixodidae sp.,IXOSP,family,Ixodidae,,,,,,sp.,,,,GSU_tickIdentification_SOP_2016-11-01.pdf,,Larva,1,OK,90% ethanol,USNMENT01430086,SERC_001.20170926.L,Arianna Gibbs,Georgia Southern University,
